ID,Language_ID,Headword,Part_Of_Speech,Abstract_Noun,Agentive_Noun,Alternative_Form,Associated_Phrasemes,Attributive,Contains,Dialectal_Distribution,Diffusive_Form,Entry_IDs,Etymology,Infinitive,MarkedPossession,Morphological_Segmentation,NonPossessed_Form,Phonetic_Form,Plural,Possessed_Plural,Predictable_Dialectal_Variants,Related_Dialectal_Form,Source,Variant_Form
TSE57561,tzh,talel k'axel,adv.co.,,,,,,,,,,,,,tal -el + k'ax -el,,,,,,,,
TSE57571,tzh,t'alet,expr.,,,t'alalet,,,,,,,,,,t'al -et,,,,,,,,
TSE57581,tzh,taltal,n.,,,,,,,"Bachajón, Petalcingo",,,,,,tal -REDUPL:C1VC2,,,,,,,,
TSE57591,tzh,t'alt'on,expr.,,,,,,,,,,,,,t'al -REDUPL:C1on,,,,,alternancia O/U: <t'alt'un>,,,
TSE57601,tzh,talxehtik,diff.adj.,,,,,,,Bachajón,,,,,,tal + xeh -tik,,,,,,,,
TSE57611,tzh,tam,t.v.,,,,,,,,,TSE25391 ; TSE57621,,,,,,,,,,,,
TSE57621,tzh,tam puy,inc.act.n.,,,,,,TSE52771 ; TSE57611,,,,,,,tam + puy,,,,,,,,
TSE57631,tzh,tame,sub.,,,,,,,"Cancuc, Oxchuc, Tenejapa",,,,,,,,,,,,,,
TSE57632,tzh,tame,sub.,,,,,,,Petalcingo,,,,,,,,,,,,,,
TSE57641,tzh,tamp'as,adv./adj.,,,,,,,"Bachajón, Cancuc, Petalcingo, Tenejapa",,,,,,tam + p'as o tan + p'as,,,,,,,,
TSE57651,tzh,tan,n2.,,,,,,,,,,,,,,,,,,,,,
TSE57661,tzh,tan,n.,,,,,,,,,,,,-ul,,,,,,,,,
TSE57671,tzh,tanal,pos.adj.,,,,,,,"Petalcingo, Yajalón",,,,,,tan -al,,,tanajtik,,,,,
TSE57681,tzh,t'anal,pos.adj.,,,,,,,,,,,,,t'an -al,,,t'anajtik,,,"North [kachal](TSE27031); Aguacatenango [t'axal](TSE58181); Petalcingo, Yajalón [tanal](TSE57671); Villa Las Rosas [ch'axal](TSE09961)",,
TSE57691,tzh,t'anal,pos.adj.,,,,,,,Villa Las Rosas,,,,,,t'an -al,,,t'anajtik,,,,,
TSE57701,tzh,taniw,n.,,,,,,,"Bachajón, Petalcingo",,,,,,,,,,,,Tenejapa <tanib>,,
TSE57711,tzh,taniy,t.v.,,,,,,,Tenejapa,,,,,,tan -iy,,,,,alternancia -Y: <tani>,,,
TSE57712,tzh,taniy,t.v.,,,,,,,Villa Las Rosas,,,,,,tan -iy,,,,,,,,
TSE57713,tzh,taniy,t.v.,,,,,,,Oriental Region,,,,,,tan -iy,,,,,,,,
TSE57721,tzh,tankarach,n.,,,tankarach mut,,,,Petalcingo,,,,,,,,,,,,,,
TSE57731,tzh,tansit chuch,n.,,,,,,TSE14601 ; TSE55241 ; TSE57661,Bachajón,,,,,,[tan + sit] + chuch,,,,,,,,
TSE57741,tzh,tantan chinin ak',n.,,,,,,,Cancuc,,,,,,tan -REDUPL:C1VC2 + [chinin + ak'],,,,,,,,
TSE57751,tzh,tantan chuch,n.,,,,,,TSE14601 ; TSE57661,Cancuc,,,,,,tan -REDUPL:C1VC2 + chuch,,,,,,,,
TSE57761,tzh,tantan uch,n.,,,,,,TSE57661 ; TSE68131,Cancuc,,,,,,tan -REDUPL:C1VC2 + uch,,,,,,,,
TSE57771,tzh,tantan xpuruwuk,n.,,,,,,TSE57661 ; TSE74491,,,,,,,tan -REDUPL:C1VC2 + x- puruwuk,,,,,,,,
TSE57781,tzh,tantantik,diff.adj.,,,,,,TSE57661,,,,,,,tan -REDUPL:C1VC2 -tik,,,,,,,,
TSE57791,tzh,tanuy,t.v.,,,,,,,"Petalcingo, Tenejapa",,,,,,tan -uy,,,,,alternancia -Y: <tanu>,,,
TSE57801,tzh,tap,t.v.,,,,,,,Bachajón,,,,,,,,,,,,,,
